id;kode;beskrivelse
0;5001;Demning
1;6321;Kraftledning
2;7301;Taubane
3;7311;Stolheis
4;7312;Skitrekk
5;7531;Bru
6;7312;Skogsområde
7;7313;Gondolbane
8;7531;Annet
