
  KODETABELL produsert av FxTell 2015.02.18 - 13:55:51
  Gjelder for alle filer i kjøringen. Filnavnene finnes i VOLUMTABELL
--------------------------------------------------------------------------------------------------------------------------------------------------
Hvor SOSINavn                                         Verdi                                                   Ant  Tekst                          
  G ..ANLEGGID                                        157                                                       1   - 
  G ..ANLEGGID                                        158                                                       1   - 
  G ..ANLEGGID                                        159                                                       1   - 
  G ..ANLEGGID                                        160                                                       1   - 
  G ..ANLEGGID                                        161                                                       1   - 
  G ..ANLEGGID                                        162                                                       1   - 
  G ..ANLEGGID                                        164                                                       1   - 
  G ..ANLEGGID                                        166                                                       1   - 
  G ..ANLEGGID                                        167                                                       1   - 
  G ..ANLEGGID                                        169                                                       1   - 
  G ..ANLEGGID                                        17                                                        1   - 
  G ..ANLEGGID                                        170                                                       1   - 
  G ..ANLEGGID                                        171                                                       1   - 
  G ..ANLEGGID                                        172                                                       1   - 
  G ..ANLEGGID                                        173                                                       1   - 
  G ..ANLEGGID                                        174                                                       1   - 
  G ..ANLEGGID                                        176                                                       1   - 
  G ..ANLEGGID                                        177                                                       1   - 
  G ..ANLEGGID                                        178                                                       1   - 
  G ..ANLEGGID                                        18                                                        1   - 
  G ..ANLEGGID                                        182                                                       1   - 
  G ..ANLEGGID                                        183                                                       1   - 
  G ..ANLEGGID                                        184                                                       1   - 
  G ..ANLEGGID                                        187                                                       1   - 
  G ..ANLEGGID                                        188                                                       1   - 
  G ..ANLEGGID                                        19                                                        1   - 
  G ..ANLEGGID                                        193                                                       1   - 
  G ..ANLEGGID                                        194                                                       1   - 
  G ..ANLEGGID                                        196                                                       1   - 
  G ..ANLEGGID                                        197                                                       1   - 
  G ..ANLEGGID                                        2                                                         1   - 
  G ..ANLEGGID                                        20                                                        1   - 
  G ..ANLEGGID                                        201                                                       1   - 
  G ..ANLEGGID                                        204                                                       1   - 
  G ..ANLEGGID                                        208                                                       1   - 
  G ..ANLEGGID                                        209                                                       1   - 
  G ..ANLEGGID                                        21                                                        1   - 
  G ..ANLEGGID                                        211                                                       1   - 
  G ..ANLEGGID                                        212                                                       1   - 
  G ..ANLEGGID                                        213                                                       1   - 
  G ..ANLEGGID                                        214                                                       1   - 
  G ..ANLEGGID                                        215                                                       1   - 
  G ..ANLEGGID                                        218                                                       1   - 
  G ..ANLEGGID                                        219                                                       1   - 
  G ..ANLEGGID                                        22                                                        1   - 
  G ..ANLEGGID                                        220                                                       1   - 
  G ..ANLEGGID                                        221                                                       1   - 
  G ..ANLEGGID                                        222                                                       1   - 
  G ..ANLEGGID                                        223                                                       1   - 
  G ..ANLEGGID                                        224                                                       1   - 
  G ..ANLEGGID                                        225                                                       1   - 
  G ..ANLEGGID                                        226                                                       1   - 
  G ..ANLEGGID                                        23                                                        1   - 
  G ..ANLEGGID                                        230                                                       1   - 
  G ..ANLEGGID                                        235                                                       1   - 
  G ..ANLEGGID                                        236                                                       1   - 
  G ..ANLEGGID                                        23658                                                     1   - 
  G ..ANLEGGID                                        238                                                       1   - 
  G ..ANLEGGID                                        239                                                       1   - 
  G ..ANLEGGID                                        24                                                        1   - 
  G ..ANLEGGID                                        240                                                       1   - 
  G ..ANLEGGID                                        24032                                                     1   - 
  G ..ANLEGGID                                        24033                                                     1   - 
  G ..ANLEGGID                                        24055                                                     1   - 
  G ..ANLEGGID                                        242                                                       1   - 
  G ..ANLEGGID                                        243                                                       1   - 
  G ..ANLEGGID                                        244                                                       1   - 
  G ..ANLEGGID                                        245                                                       1   - 
  G ..ANLEGGID                                        24662                                                     1   - 
  G ..ANLEGGID                                        24671                                                     1   - 
  G ..ANLEGGID                                        24674                                                     1   - 
  G ..ANLEGGID                                        247                                                       1   - 
  G ..ANLEGGID                                        249                                                       1   - 
  G ..ANLEGGID                                        25                                                        1   - 
  G ..ANLEGGID                                        250                                                       1   - 
  G ..ANLEGGID                                        251                                                       1   - 
  G ..ANLEGGID                                        253                                                       1   - 
  G ..ANLEGGID                                        254                                                       1   - 
  G ..ANLEGGID                                        25406                                                     1   - 
  G ..ANLEGGID                                        25416                                                     1   - 
  G ..ANLEGGID                                        255                                                       1   - 
  G ..ANLEGGID                                        256                                                       1   - 
  G ..ANLEGGID                                        257                                                       1   - 
  G ..ANLEGGID                                        26                                                        1   - 
  G ..ANLEGGID                                        262                                                       1   - 
  G ..ANLEGGID                                        269                                                       1   - 
  G ..ANLEGGID                                        27                                                        1   - 
  G ..ANLEGGID                                        270                                                       1   - 
